,Ligand SMILES,IC50 (nM)
580,CC(C)c1nc(Nc2ccn(C)n2)nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O, 1.8
581,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n(nc1C(=O)NCc1ccc(C)cc1)-c1ccc(F)cc1, 1.9
582,CCCC(CC)(CC)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12, 1.9
583,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(-c2ccc(F)cc2)c2c1c(=O)n(-c1cccc(F)c1)c1ccccc21, 1.9
584,CC(C)c1c(OC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)NCc1cccc(F)c1F)-c1ccc(F)cc1, 2.0
586,CC(C)c1nc(c(-c2ccc(F)cc2)n1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1, 2
592,CC(C)c1nc(cc(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1)-c1ccc(F)cc1, 2.00
593,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n(nc1C(=O)N1CCC[C@@H](C1)c1ccccc1)-c1ccc(F)cc1, 2.0
594,CC(C)c1c(c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1)S(=O)(=O)Nc1ccccc1, 2
596,COC(=O)C[C@H](O)C[C@H](O)\C=C\n1c(cc(c1-c1ccc(F)cc1)-c1cccc(Cl)c1)C(C)C, 2
597,COC(=O)C[C@H](O)C[C@H](O)\C=C\n1c(cc(c1-c1ccc(F)cc1)-c1ccccc1)C(C)C, 2
598,COC(=O)C[C@H](O)C[C@H](O)\C=C\n1c(cc(c1-c1ccc(F)cc1)-c1ccccn1)C(C)C, 2
599,COC(=O)C[C@H](O)C[C@H](O)\C=C\n1c(cc(c1-c1ccc(F)cc1)-c1ccc(F)cc1)C(C)C, 2
600,CC(C)(C)n1nnc(n1)C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)=C(c1ccc(F)cc1)c1ccc(F)cc1, 3700
601,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCc1ccncc1, 3700
603,CC(C)[C@H](NC(=O)[C@@H](N)Cc1ccc(F)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(O)=O, 3840
606,CC(O)(CC(O)=O)CC(O)=O, 4000
608,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1ccc(Br)c2ccccc12, 4000
609,CCOC(=O)c1c(C)n(CC[C@@H]2C[C@@H](O)CC(=O)O2)c(c1-c1ccccc1)-c1ccccc1, 4000
611,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1cccc2cccc(Br)c12, 4120.0
612,CC(C)c1ccc(Sc2cc3c(Sc4ccc(cc4)C(C)C)c(\C=C\[C@@H]4C[C@@H](O)CC(=O)O4)cnc3c(Sc3ccc(cc3)C(C)C)c2Sc2ccc(cc2)C(C)C)cc1, 4350
613,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCc1cccc2ccccc12, 4400
614,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1cnc2cc(Sc3ccccc3)c(F)cc2c1Sc1ccccc1, 4410
615,OC(CC(O)\C=C\c1c(-c2ccc(F)cc2)c2ccccc2n2nnnc12)CC([O-])=O, 4600
617,C[C@@H](O)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccc(F)cc1)NC(=O)CN)C(=O)NCC(=O)NCC(O)=O, 4820
618,Cc1ccc(COc2cc(Cl)cc(Cl)c2\C=C\[C@@H]2C[C@@H](O)CC(=O)O2)cc1, 4900
619,CCC(=O)c1cc(OC)c(OC)cc1O, 4940
620,CCCCCCCCC#CC#CCCCCCC(O)=O, 5000
621,CCCCCCCCC#CCCCCCCCC(O)=O, 5000
622,CCCCCCCCC#CC#CC1OC1CCCC(O)=O, 5000
627,Cc1nc(cc(-c2ccc(F)cc2)c1\C=C/[C@@H]1C[C@@H](O)CC(=O)O1)-c1ccccc1, 5000
631,O[C@@H]1C[C@@H](CCc2c(Cl)cc(Cl)cc2OCc2ccccc2)OC(=O)C1, 5200
632,O[C@H](C[C@H](O)\C=C\c1c2CCCCc2nn1-c1ccc(F)cc1)CC([O-])=O, 5300
633,Cc1ccc(-c2cccc(c2)C(F)(F)F)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 5400
635,COc1cccc(Sc2c(\C=C\[C@@H]3C[C@@H](O)CC(=O)O3)c(nc3ccc(F)cc23)C2CC2)c1, 5610
637,Cn1nnnc1C(C=C=C[C@@H](O)C[C@@H](O)CC([O-])=O)=C(c1ccc(F)cc1)c1ccc(F)cc1, 5700
640,CC(C)=CCC\C(C)=C\CCC1=C[C@@H](OC1=O)c1ccc(cc1)C(C)(C)C, 5820
642,CCC(C)C(=O)O[C@H]1C[C@@H](C)C[C@@H]2C=C[C@H](C(C)C)[C@H](CCC(=O)C[C@@H](O)CC(=O)OC)[C@@H]12, 6000
645,COc1ccc(cc1)[C@@H]1OC(=O)C(CC\C=C(/C)CCC=C(C)C)=C1, 6210
647,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OC(c1ccccc1)c1ccccc1, 6300
648,CC(C)c1ccc(-c2ccc(F)cc2F)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 6310
649,COc1ccccc1-c1ccc(C(C)C)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 6310
650,Cc1ccc(-c2ccc(O)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 6310
651,Cc1ccc(C2CC3CC2C=C3)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 6310
652,CCCC(=O)c1cc(OC)c(OCC(=O)OC)cc1O, 6430
653,Cc1cc(C)c(OCC2C[C@@H](O)CC(=O)O2)c(c1)C(Cl)C1CCCCC1, 6500
654,CC(C)=CCC\C(C)=C\CCC1=C[C@@H](OC1=O)c1ccccc1O, 6760
655,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Sc2ccc(F)cc2)c2cc(F)ccc2nc1C1CC1, 6930
656,NCC(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(O)=O)C(=O)NCC(=O)NCC(O)=O, 6950
657,O[C@@H]1CC(CCc2ccc(Cl)c3cc(Cl)ccc23)OC(=O)C1, 7000
658,CCCCCCCCC#CC#CC(O)CCCCC(O)=O, 7000
659,CC[C@H](C)C(=O)O[C@H]1C[C@H]2[C@@H](CC[C@@H]3C[C@H](O)CC[C@]23C)[C@@H]2CCC([C@H](C)C[C@H]3C[C@@H](O)CC(=O)O3)[C@@]12C, 7000
660,COc1cccc(Sc2cc3nc(C4CC4)c(\C=C\[C@@H]4C[C@@H](O)CC(=O)O4)c(Sc4cccc(OC)c4)c3cc2F)c1, 7100
661,CCC(CC)(c1ccc(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c(c1)C(C)C)c1ccccc1F, 7400
662,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1ccccc1Cl, 7400
663,CC(C)=CCC\C(C)=C\CCC1=C[C@@H](OC1=O)c1ccc(cc1)[N+]([O-])=O, 7430
664,CC(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)=C(c1ccc(F)cc1)c1ccc(F)cc1, 7900
665,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cccc1Cl, 7900
666,O[C@@H]1CC(CCc2c(O)cc(Cl)cc2Cl)OC(=O)C1, 7900
668,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1cnc2c(F)c(F)c(F)cc2c1Sc1ccc(F)cc1, 7930
669,O[C@H](C[C@H](O)\C=C\C(C#N)=C(c1ccc(F)cc1)c1ccc(F)cc1)CC([O-])=O, 8000
671,C[C@H]1C[C@@H](O[C@@]11CC[C@]2(C)C[C@H]3[C@@H](C(=O)C=C3C)\C(C=O)=C/C[C@@H]12)C=C(C)C, 8400
672,O[C@H](C[C@H](O)\C=C\c1c2CCCC(C3CCCCC3)c2nn1-c1ccc(F)cc1)CC([O-])=O, 8500
673,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(F)cc1)NC(=O)CNC(=O)[C@@H](N)Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(O)=O, 8520
674,C[C@H](CC\C=C(/C)C(O)=O)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)C3=CC[C@]12C, 8600
675,COCOc1ccccc1[C@@H]1OC(=O)C(CC\C=C(/C)CCC=C(C)C)=C1, 8900
680,COc1cccc(Sc2c(\C=C\[C@@H]3C[C@@H](O)CC(=O)O3)cnc3cc(Cl)c(F)cc23)c1, 9240
681,O[C@H](C[C@H](O)\C=C\c1c2CCc3ccccc3-c2nn1-c1ccc(F)cc1)CC([O-])=O, 9400
683,C[C@H](CC\C=C(\C)C(O)=O)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3=O, 9500
688,CC(C)c1ccc(-c2ccccc2Cl)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 10000
689,CC(C)c1nn(c(c1CCC1CC(=O)CC(=O)O1)-c1ccc(F)cc1)-c1ccccc1, 10000
695,CC(C)(O)CCCCc1cccc(\C=C\[C@@]2(C)CC[C@H](O)CC2)c1, 10000
697,Cc1ccc(-c2ccc(Cl)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 10000
699,O[C@H](C[C@H](O)\C=C\c1c(nc2ccccc2c1-c1ccc(F)cc1)C1CC1)CC([O-])=O, 10550
700,CC(C)c1ccc(Sc2cc3ncc(\C=C\[C@@H]4C[C@@H](O)CC(=O)O4)c(Sc4ccc(cc4)C(C)C)c3cc2F)cc1, 10600
701,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1cnc2c(F)c(F)c(F)cc2c1Sc1ccccc1, 10670
702,C[C@H](CC\C=C(/C)C(O)=O)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)[C@H](O)[C@]12C)[C@@]1(C)CCC(=O)[C@@](C)(COC(=O)C[C@@](C)(O)CC(O)=O)[C@@H]1CC3=O, 10700
703,COCCOCOc1cc(Cl)cc(Cl)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1, 11000
704,O[C@H](C[C@H](O)\C=C\c1c2CCCc2nn1-c1ccc(F)cc1)CC([O-])=O, 11000
705,COc1cccc(c1)-c1ccc(C)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 11000
706,CC(C)c1ccc(Sc2c(\C=C\[C@@H]3C[C@@H](O)CC(=O)O3)c(nc3ccccc23)C2CC2)cc1, 11300
707,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1cnc2c(Sc3ccc(F)cc3)c(Sc3ccc(F)cc3)c(F)cc2c1Sc1ccc(F)cc1, 11940
710,Cc1ccc(-c2cccc(O)c2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 12000
712,[Na+].C[C@H](CC(O)CC(O)CC([O-])=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](OC(=O)C(C)(C)C)[C@]12C, 12300
713,CC(C)=CCC\C(C)=C\CCC1=C[C@@H](OC1=O)c1cc(O)ccc1O, 12300
714,C[C@H](CC\C=C(\C)C(O)=O)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)C3=CC[C@]12C, 12500
719,C[C@H](CCC=C(CO)CO)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3=O, 12600
720,CC(C)c1ccc(Sc2c(\C=C\[C@@H]3C[C@@H](O)CC(=O)O3)cnc3ccccc23)cc1, 12650
721,CCCCCOc1c(Cl)cc(Cl)cc1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1, 13000
722,O[C@@H]1CC(CCc2c(Cl)cc(Cl)cc2OCc2ccc(cc2)C(F)(F)F)OC(=O)C1, 13000
723,Cc1ccc(-c2ccccc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 13000
724,Cc1ccc(C(c2ccccc2)c2ccccc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 13000
725,COc1ccc(OC)c(c1)[C@@H]1OC(=O)C(CC\C=C(/C)CCC=C(C)C)=C1, 13150
726,C[C@@H]1C[C@H](OC(=O)NCCCCCCC(=O)NO)[C@@H]2[C@@H](CC[C@@H]3C[C@H](CC(=O)O3)O[Si](C)(C)C(C)(C)C)[C@@H](C)C=CC2=C1, 13200
728,C[C@H](CC\C=C(/C)C(O)=O)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)[C@@](C)(COC(=O)C[C@@](C)(O)CC(O)=O)[C@@H]1CC3=O, 13300
729,CC(C)n1nnnc1C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)=C(c1ccc(F)cc1)c1ccc(F)cc1, 14000
730,CC(C)c1ccc(Sc2cc3ncc(\C=C\[C@@H]4C[C@@H](O)CC(=O)O4)c(Sc4ccc(cc4)C(C)C)c3cc2Sc2ccc(cc2)C(C)C)cc1, 14150
731,CCc1ccc(cc1)[C@@H]1OC(=O)C(CC\C=C(/C)CCC=C(C)C)=C1, 14200
732,CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(=O)NO)N(C)S(C)(=O)=O, 14900
734,CCC(C)(C)C(=O)NC(C1CCCCC1)c1cc(C)cc(C)c1OCC(O)C[C@@H](O)CC([O-])=O, 15000
735,O[C@@H]1C[C@@H](CCc2ccc(Cl)cc2Cl)OC(=O)C1, 15200
736,COc1cccc(Sc2cc3ncc(\C=C\[C@@H]4C[C@@H](O)CC(=O)O4)c(Sc4cccc(OC)c4)c3cc2Sc2cccc(OC)c2)c1, 15370
737,CC(C)c1ccc(Sc2ccc3c(Sc4ccc(cc4)C(C)C)c(\C=C\[C@@H]4C[C@@H](O)CC(=O)O4)cnc3c2)cc1, 15750
742,CC(C)c1ccc(-c2cc(C)ccc2C)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 16000
743,Cc1ccc(-c2ccc3ccccc3c2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 16000
744,C[C@@H]1C[C@H](OC(=O)NCc2ccc(cc2)-c2cn(CCCCCCC(=O)NO)nn2)[C@@H]2[C@@H](CC[C@@H]3C[C@H](CC(=O)O3)O[Si](C)(C)C(C)(C)C)[C@@H](C)C=CC2=C1, 16100
745,CC(C)=CCC\C(C)=C\CCC1=C[C@@H](OC1=O)c1ccccc1, 16480
746,C[C@H](CC[C@H](O)[C@](C)(O)CO)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)C3=CC[C@]12C, 16800
748,C[C@@H](O)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccccc1)NC(=O)CN)C(=O)NCC(=O)NCC(O)=O, 16940
749,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1ccc(OCc2ccc(F)cc2)c(Cl)c1Cl, 17000
750,O[C@@H]1C[C@@H](CCn2c(ccc2-c2ccc(F)cc2)C2CCC2)OC(=O)C1, 17000
751,C[C@H](CC\C=C(/C)C(O)=O)[C@H]1CC[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)[C@@](C)(CO)[C@@H]1C[C@@H]3O, 17100
752,CC(C)c1nn(c(c1C(=C)[C@H]1C[C@H](O)CC(=O)O1)-c1ccc(F)cc1)-c1ccccc1, 17800
753,CC(C)=CCC\C(C)=C\CCC1=C[C@@H](OC1=O)c1ccc(C)cc1, 18120
754,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1cnc2ccccc2c1Sc1ccc(F)cc1, 18560
755,C[C@H](CC[C@H](O)[C@](C)(O)COC(=O)C(\CC\C=C(/C)CCC=C(C)C)=C/Cc1cc(O)ccc1O)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)C3=CC[C@]12C, 18900
756,CC(C)=CCC\C(C)=C\CCC1=C[C@@H](OC1=O)c1ccccc1[N+]([O-])=O, 18910
759,CC(C)C[C@H](NC(=O)CN)C(=O)N1CCC[C@H]1C(=O)N[C@@H]([C@@H](C)O)C(=O)NCC(=O)NCC(O)=O, 19430
761,C[C@@]1(O)C[C@@H](CCc2ccc(Cl)cc2Cl)OC(=O)C1, 19800
765,C[C@@]1(O)C[C@H](OC(=O)C1)\C=C\c1ccc(Cl)cc1Cl, 20000
766,Cc1c(OCC(O)C[C@@H](O)CC([O-])=O)c(cc2ccccc12)C(c1ccc(F)cc1)c1ccc(F)cc1, 20000
767,Cc1ccc(-c2ccc(F)cc2)n1-c1ccc(cc1)[C@@H]1C[C@@H](O)CC(=O)O1, 20000
775,C[C@H](CC\C=C(/C)C(O)=O)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)[C@H](OC(C)=O)[C@]12C)[C@@]1(C)CCC(=O)[C@@](C)(CO)[C@@H]1CC3=O, 20500
776,CC(C)n1c(\C=C\C(O)C[C@@H](O)CC([O-])=O)c(-c2ccc(F)cc2)c2ccccc12, 21210
777,C[C@H](CC\C=C(/C)C(O)=O)[C@H]1C[C@H](O)[C@@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)C3=CC[C@]12C, 21700
781,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1ccc(Cl)cc1Cl, 22000
782,CC(C)c1ccc(Sc2c(\C=C\[C@@H]3C[C@@H](O)CC(=O)O3)cnc3cc(Cl)c(F)cc23)cc1, 22050
783,C[C@H](CC\C=C(/C)C(O)=O)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3=O, 22300
785,C[C@@H]1C[C@H](OC(=O)Nc2ccc(cc2)-c2cn(CCCCCCC(=O)NO)nn2)[C@@H]2[C@@H](CC[C@@H]3C[C@H](CC(=O)O3)O[Si](C)(C)C(C)(C)C)[C@@H](C)C=CC2=C1, 22300
786,CC(C)C[C@H](NC(=O)CN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(O)=O)C(=O)NCC(=O)NCC(O)=O, 22310
789,O[C@@H]1CC(CCc2ccc(Br)c3ccccc23)OC(=O)C1, 23300
791,C[C@H](CC[C@H](OC(=O)C(\CC\C=C(/C)CCC=C(C)C)=C/Cc1cc(O)ccc1O)[C@](C)(O)CO)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)C3=CC[C@]12C, 24100
796,COc1ccc2ccccc2c1-c1ccc(C(C)C)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 25119
798,Cc1ccc(-c2ccc(cc2)-c2ccccc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 25119
799,COc1ccccc1-c1ccc(C)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 25119
801,CC(C)=CCC\C(C)=C\CCC1=C[C@@H](OC1=O)c1cc(F)ccc1F, 25120
802,COc1ccc2nc(C3CC3)c(\C=C\[C@@H]3C[C@@H](O)CC(=O)O3)c(Sc3ccc(F)cc3)c2c1, 25700
803,CCC(CC)(c1ccc(F)cc1)c1ccc(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c(c1)C(C)C, 26000
804,C[C@H](CC\C=C(/C)C(O)=O)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)[C@H](OC(C)=O)[C@]12C)[C@@]1(C)CCC(=O)[C@@](C)(COC(=O)C[C@@](C)(O)CC(O)=O)[C@@H]1C[C@@H]3O, 26400
805,C[C@H](CC\C=C(/C)C(O)=O)[C@H]1CC[C@@]2(C)C3=C(C(=O)[C@H](OC(C)=O)[C@]12C)[C@@]1(C)CCC(=O)[C@@](C)(CO)[C@@H]1C[C@@H]3O, 26600
807,CC(C)C[C@H](NC(=O)CN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)NCC(=O)NCC(O)=O, 27280
808,COc1ccc(cc1)-c1ccc(C)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 28000
809,CC(C)=CCC\C(C)=C\CC\C(=C\Cc1cc(O)ccc1O)C(O)=O, 29300
810,Cc1ccc(\C=C\[C@@H]2C[C@@H](O)CC(=O)O2)c(C)c1, 29900
813,Cn1nnc(n1)C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)=C(c1ccc(F)cc1)c1ccc(F)cc1, 30000
817,C[C@@H]1CC[C@]2(C)[C@H](CCC=C2C)[C@@]1(C)CCC1=CC(=O)O[C@@H]1O, 30200
819,Cc1ccc(-c2ccccc2O)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 31623
820,CCC(CC)c1ccc(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 32000
823,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1cnc2cc(Sc3ccccc3)c(Sc3ccccc3)cc2c1Sc1ccccc1, 32550
824,C[C@H](CCC=C(CO)CO)[C@H]1CC[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3=O, 32900
825,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1ccc(Cl)c(Cl)c1, 35000
826,CC(CCOc1cc(Cl)cc(Cl)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1)CC(C)(C)C, 38000
827,CC(C)=CCC\C(C)=C\CCC1=C[C@@H](OC1=O)c1cc(F)c(F)c(F)c1, 38220
828,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1cnc2cc(Sc3ccc(F)cc3)c(F)cc2c1Sc1ccc(F)cc1, 38930
829,[Na+].C[C@H](CC(O)CC(O)CC([O-])=O)[C@H]1CC[C@H]2[C@@H]3[C@@H](C[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3C[C@H](OC(C)=O)[C@]12C)OC(C)=O)OC(C)=O, 39200
832,CC(C)c1ccc(-c2ccc(F)cc2)n1CC(C)[C@@H]1C[C@@H](O)CC(=O)O1, 40000
835,COc1ccc2nc(C3CC3)c(\C=C\[C@@H]3C[C@@H](O)CC(=O)O3)c(Sc3ccc(cc3)C(C)C)c2c1, 41300
836,CC(C)[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(O)=O, 41800
837,CC(C)[C@H](NC(=O)[C@@H](N)Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(O)=O, 43800
838,O[C@@H]1CC(CCc2ccccc2-c2ccccc2)OC(=O)C1, 44000
841,CC(C)=CCC\C(C)=C\CC\C(=C\C(=O)c1cc(O)ccc1O)C(O)=O, 45200
842,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Sc2ccc(F)cc2)c2cc(F)c(Sc3ccc(F)cc3)cc2nc1C1CC1, 45700
843,COc1cccc(Sc2c(F)cc3c(Sc4cccc(OC)c4)c(\C=C\[C@@H]4C[C@@H](O)CC(=O)O4)cnc3c2F)c1, 49670
844,CC(C)=CCC\C(C)=C\CCC1=C[C@@H](OC1=O)c1ccc2ccccc2c1, 49820
846,CCCCCCCCCCCCCC(O)(CC(O)=O)CC(O)=O, 50000
847,CCCCCCCCCCCCCCCC(O)(CC(O)=O)CC(O)=O, 50000
849,CC(C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O, 52600
850,CC[C@H](C)[C@H](N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(O)=O, 52670
851,Cc1ccc(-c2ccc(F)cc2)n1CCC[C@@H]1C[C@@H](O)CC(=O)O1, 53000
852,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1ccc(cc1)-c1ccccc1, 55000
853,COC1(OC(=O)C(CC\C=C(/C)CC\C=C(/C)C=O)=C1)c1cc(O)ccc1O, 56900
855,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Sc2ccc(F)cc2)c2ccccc2nc1C1CC1, 62400
856,Cc1ccc(-c2ccc(F)cc2)n1-c1cccc(c1)[C@@H]1C[C@@H](O)CC(=O)O1, 63000
857,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1cccc(Cl)c1Cl, 64400.0
858,CCCc1cc(OC)c(OCC(=O)OC)cc1O, 66500
859,C[C@H](CC\C=C(/C)C(O)=O)[C@H]1CC[C@@]2(C)C3=C(C(=O)[C@H](O)[C@]12C)[C@@]1(C)CCC(=O)[C@@](C)(CO)[C@@H]1C[C@@H]3O, 66900
863,COc1cc(Cl)c(\C=C\C)cc1OC, 71400
864,COc1cc(CC=C)ccc1OCC(O)=O, 73400
865,CCCc1cc(OC)c(OC)cc1O, 73600
866,COc1cccc(Sc2c(F)cc3c(Sc4cccc(OC)c4)c(\C=C\[C@@H]4C[C@@H](O)CC(=O)O4)cnc3c2Sc2cccc(OC)c2)c1, 74550
868,CC[C@H](C)[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(O)=O)C(O)=O, 75230
869,COc1cc(O)c(CC=C)cc1OC, 78800
871,CC(CCc1ccc2c(c1)-c1ccccc1S2(=O)=O)CC(O)=O, 80000
872,CC(CCc1ccc(Oc2ccccc2)cc1)CC(O)=O, 80000
873,CC(CCc1ccc(cc1)S(=O)(=O)c1ccccc1)CC(O)=O, 80000
874,CC(CCc1ccc(cc1)-c1ccccc1)CC(O)=O, 80000
876,CCCCCc1cc(OC)c(OC)cc1OC, 84600
877,COc1cccc(OC)c1-c1ccc(C(C)C)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 87000
878,O[C@@H]1CC(CC[C@@H]2CC[C@H]3CCCC[C@@H]3C2)OC(=O)C1, 90000
879,CC(CC(O)=O)CC(=O)c1ccc2CCc3ccccc3-c2c1, 90000
880,COC(=O)COc1ccccc1C, 91300
881,CCC(CC)(c1cccc(F)c1)c1ccc(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c(c1)C(C)C, 92000
882,CCCc1cc(OC)c(OCC(=O)OC)cc1N, 92900
884,CC[C@H](C)[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(O)=O, 97100
885,C[C@H](CC\C=C(/C)C(O)=O)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)[C@H](OC(C)=O)[C@]12C)[C@@]1(C)CCC(=O)[C@@](C)(CO)[C@@H]1C[C@@H]3O, 97500
899,CCCCCCCCCCCCCCCCC(O)(CC(O)=O)CC(O)=O, 100000
900,CCCCCCCCCCCCCCCCCC(O)(CC(O)=O)CC(O)=O, 100000
901,CCCCCCCCCCC(O)(CC(O)=O)CC(O)=O, 100000
902,CC(CCc1ccc(Sc2ccccc2)cc1)CC(O)=O, 100000
906,Cc1ccc(-c2ccc(F)cc2)n1-c1ccccc1[C@@H]1C[C@@H](O)CC(=O)O1, 100000
