,Ligand SMILES,IC50 (nM)
119,O[C@@H]1CC(CCc2c(Cl)cc(Cl)c3ccc(Cl)cc23)OC(=O)C1, 32
120,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CCC(=O)C[C@@H](O)CC(O)=O)C12, 32
121,CC(C)c1nc2ccccc2c(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1, 32
122,Cc1cc(cc(C)c1F)-c1nc(n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c1-c1ccc(F)cc1)C(F)(F)F, 32
123,CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)N(c1ccon1)S(C)(=O)=O, 33
124,O[C@@H]1CC(CCc2c(Cl)cc(Cl)c3cc(Cl)ccc23)OC(=O)C1, 33
125,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C(=O)[C@@H]2CC[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12, 34
126,Cc1c(CCC(O)C[C@@H](O)CC([O-])=O)c(cn1-c1ccccc1)-c1ccc(F)cc1, 35
127,CC(C)c1nn(c(c1CC[C@H]1C[C@H](O)CC(=O)O1)-c1ccc(F)cc1)-c1ccccc1, 35
128,CCC(C)(C)C(=O)O[C@H]1CC(C)(C)O[C@@H]2CC[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12, 35
129,COc1cccc(CC2CCCc3c2nn(c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c2ccc(F)cc2)c1, 35
131,Cc1cc(F)ccc1-c1cc(Cl)cc(Cl)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1, 36
132,CC(C)c1nc(cc(-c2ccc(cc2)C(F)(F)F)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1)-c1ccccc1, 36
133,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1-c1ccc(Cl)cc1, 36
135,C[C@@H]1C[C@H](OC(=O)Nc2ccc(cc2)C#C)[C@@H]2[C@@H](CC[C@@H]3C[C@H](CC(=O)O3)O[Si](C)(C)C(C)(C)C)[C@@H](C)C=CC2=C1, 36.5
138,C[C@@H]1C[C@H](OC(=O)c2ccc(F)cc2)C2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=CC2=C1, 37
139,CC(C)c1c(OC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)N(C)Cc1cccc(C)c1)-c1ccc(F)cc1, 37
140,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1-c1cc(Cl)cc(Cl)c1, 37
141,CC(C)c1c(OC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)N(C)Cc1ccc(C)cc1)-c1ccc(F)cc1, 37
142,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(-c2ccc(F)cc2)c2c1c(=O)n(Cc1cccc(F)c1)c1ccccc21, 37.4
143,[Na+].Cc1cc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1, 38
145,O[C@H](CCn1c(nc(c1-c1ccc(F)cc1)-c1ccc(F)cc1)C(F)(F)F)C[C@@H](O)CC([O-])=O, 38
146,Cc1cc(C)cc(c1)-c1c(nc(n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C(F)(F)F)-c1ccc(F)cc1, 38
148,COc1ccc(cc1)-n1nc(C(C)C)c(CC[C@H]2C[C@H](O)CC(=O)O2)c1-c1ccc(F)cc1, 39
149,C[C@@H]1C[C@H](OC(=O)C2CC2)C2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=CC2=C1, 39
150,CC(C)c1ccc(CC2CCCc3c2nn(c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c2ccc(F)cc2)cc1, 40
151,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC([O-])=O)[C@@H]12, 40
153,CC(C)c1nn(c(c1CCC(O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1)-c1ccccc1, 40
154,CC(C)c1nn(c(c1CC[C@H]1C[C@H](O)CC(=O)O1)-c1ccc(F)cc1)-c1ccc(C)cc1, 40
156,CCc1nc(cc(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1)-c1ccccc1, 40
157,CC(C)c1c(C(=O)OCc2ccccc2)c(c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1)-c1ccccc1, 40
159,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)[C@@H](O)[C@@H]2CC[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12, 41
160,O[C@H](CCn1c(nc(c1-c1cccc(Cl)c1)-c1ccc(F)cc1)C(F)(F)F)C[C@@H](O)CC([O-])=O, 41
163,COc1cc(CN(C)C(=O)c2nn(c(OC[C@@H](O)C[C@@H](O)CC(O)=O)c2C(C)C)-c2ccc(F)cc2)cc(OC)c1, 43
164,Cc1ccc(cc1)-c1nc(n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c1-c1ccc(F)cc1)C(F)(F)F, 43
