,SMILES
333,COCC(=O)Nc1ccc(Cl)c(Cl)c1
334,O=C(c1ccc(-c2ccccc2)cc1)c1ccc2n1CCC2C(=O)O
335,OC1CC2CCC1C2
336,CCCCCCCCCCCC(=O)OC
337,N#CC(Cl)(Cl)Cl
338,Cc1cnc(-c2ccc(C(C)C(=O)O)cc2F)s1
339,COc1ccc2c(c1)CCN(C)C2
340,CN(C)c1cccc2nc(N)nc(N)c12
341,CC(C)(C)c1ccccc1O
342,COc1cccc(NC(=O)c2cnc(N3CCN(c4ccccc4OC)CC3)c([N+](=O)[O-])c2)c1
343,Clc1ccc(Oc2cc(Cl)c(Cl)cc2Cl)cc1Cl
344,Cc1[nH]cnc1CSCCNc1[nH]ccc(=O)c1[N+](=O)[O-]
345,COc1cccc(OC)c1C(=O)Nc1nnc(-c2ccc(Br)cc2)s1
346,Cc1cccc(C)c1NC(=O)c1cccc(CN2CCOCC2)c1
347,O=c1[nH]c2ccccc2n1C1CCNCC1
348,CN1CCN(c2ccc(Nc3nc4c(NCc5cccnc5N(C)S(C)(=O)=O)cccn4n3)cc2)CC1
349,Cc1cccc(OC2OC(CO)C(O)C(O)C2O)c1
350,CCN(CC)c1ccc(CO)cc1
351,CCCOC(=O)c1ccc(C(=O)OCCC)nc1
352,C=CC#Cc1ccc(-c2cccs2)s1
353,C=C(C)CC1(CC)C(=O)NC(=S)NC1=O
354,CCCOc1ccc(OCC(OC(=S)n2ccnc2)C(C)(C)C)cc1
355,CON=C(C(=O)OC)c1ccccc1CON=C(C)c1cccc(C(F)(F)F)c1
356,CS(=O)(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]cc(Cl)c3n2)C1
357,O=C(C=Cc1ccccc1)c1ccccc1
358,CN(C(N)=S)c1ccccc1
359,NNC(=O)c1cccc(O)c1
360,Cc1cccc(N=C2NCCN2)c1Cl
361,O=S(=O)(Oc1ccccc1)c1ccccc1
362,CCOC(=O)CCl
363,Clc1cc(Cl)c(Cl)c(Oc2cc(Cl)c(Cl)cc2Cl)c1
364,CC(=O)C(C)C
365,COc1ccc(C=CC(C)=O)cc1
366,CCNCC(=O)Nc1c(C)cccc1C
367,CC1CN(C2CCC(n3cc(C(N)=O)c(Nc4ccc(Cl)cc4)n3)C(C#N)C2)C1
368,CN(C)P(=O)(N1CCCC1)N1CCCC1
369,COCC(=O)OCCCS(=O)(=O)c1ccc(S(N)(=O)=O)s1
